Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Season
33,Peter Ing,24,DET,3,,1,2,0,15,102,87,0.853,5.28,0,0.2,170,,,,,,0,0,0,0,1993
1,Gilles Boisvert,26,DET,3,,0,3,0,9,82,73,0.89,3,0,0.5,180,,,,,,0,0,0,0,1959
11,Bob Perreault,28,DET,3,,2,1,0,9,86,77,0.895,3,1,0.5,180,,,,,,0,0,0,0,1958
52,Warren Skorodenski,27,EDM,3,,0,0,0,7,25,18,0.72,6.98,0,-0.2,60,,,,,,0,0,0,0,1987
28,Martin Gerber,36,EDM,3,3,3,0,0,4,95,91,0.958,1.3,0,1.1,185,3,1,0,,,0,1,1,0,2010
16,Yann Danis,31,EDM,3,0,1,0,0,7,59,52,0.881,3.81,0,0.1,110,0,,0,,,0,0,0,0,2012
4,Richard Bachman,26,EDM,3,3,0,2,1,7,83,76,0.916,3.03,0,0.5,139,1,0.333,2,,,0,0,0,0,2013
66,Kay Whitmore,21,HAR,3,,2,1,0,10,96,86,0.896,3.33,0,0.6,180,,,,,,0,2,2,4,1988
40,Mike Lenarduzzi,20,HAR,3,,1,1,1,9,87,78,0.897,3.22,0,0.5,168,,,,,,0,0,0,0,1992
2,Ryan Bach,25,LAK,3,,0,3,0,8,66,58,0.879,4.45,0,0.2,108,,,,,,0,0,0,0,1998
66,Jonathan Quick,22,LAK,3,2,1,2,0,9,62,53,0.855,3.84,0,0,141,0,0,1,,,0,0,0,0,2007
5,Jonathan Bernier,21,LAK,3,3,3,0,0,4,94,90,0.957,1.3,1,1.1,185,2,0.667,0,,,0,1,1,0,2009
13,Peter Budaj,36,LAK,3,1,0,1,0,6,33,27,0.818,5.02,0,-0.1,72,0,0,1,,,0,0,0,0,2018
4,Jacques Caron,28,LAK,3,,0,2,0,9,68,59,0.868,3.86,0,0.2,140,,,,,,0,0,0,0,1968
38,Josh Harding,21,MIN,3,,2,1,0,8,83,75,0.904,2.59,1,0.5,185,,,,,,0,0,0,0,2005
20,Wade Dubielewicz,31,MIN,3,1,1,1,0,5,34,29,0.853,2.98,0,0,101,0,0,1,,,0,0,0,0,2009
37,Lindsay Middlebrook,26,MNS,3,,0,0,2,7,70,63,0.9,3,0,0.5,140,,,,,,0,0,0,20,1981
12,Jim Craig,26,MNS,3,,1,1,0,9,56,47,0.839,4.92,0,0.2,110,,,,,,0,0,0,0,1983
52,Mike Sands,21,MNS,3,,0,3,0,14,88,74,0.841,6.05,0,0.3,139,,,,,,0,0,0,2,1984
47,Mike Sands,23,MNS,3,,0,2,0,12,103,91,0.883,4.43,0,0.6,163,,,,,,0,0,0,0,1986
10,Frederic Chabot,22,MTL,3,,0,0,1,6,45,39,0.867,3.32,0,0.2,108,,,,,,0,0,0,0,1990
93,Dustin Tokarski,24,MTL,3,2,2,0,0,5,93,88,0.946,1.84,1,0.9,163,2,1,0,,,0,0,0,0,2013
6,Craig Billington,22,NJD,3,,1,1,0,11,65,54,0.831,4.73,0,0.1,140,,,,,,0,0,0,0,1988
64,Peter Sidorkiewicz,30,NJD,3,,0,3,0,6,55,49,0.891,2.77,0,0.3,130,,,,,,0,0,0,0,1993
50,Jeff Reese,30,NJD,3,,0,2,0,13,65,52,0.8,5.62,0,-0.3,139,,,,,,0,0,0,0,1996
78,Corey Schwab,33,NJD,3,,2,0,1,2,68,66,0.971,0.64,1,0.9,187,,,,,,0,1,1,2,2003
14,Scott Clemmensen,37,NJD,3,1,0,0,1,8,54,46,0.852,4.73,0,-0.1,102,0,0,0,,,0,0,0,0,2014
4,Ken Appleby,22,NJD,3,1,0,1,0,3,55,52,0.945,1.45,0,0.5,124,0,0,0,,,0,0,0,0,2017
46,Chris Mason,22,NSH,3,,0,0,0,6,44,38,0.864,5.21,0,0,69,,,,,,0,0,0,0,1998
54,Jan Lasak,22,NSH,3,,0,3,0,13,104,91,0.875,4.4,0,0.3,177,,,,,,0,0,0,2,2001
54,Jan Lasak,23,NSH,3,,0,1,0,5,39,34,0.872,3.32,0,0.1,90,,,,,,0,0,0,0,2002
51,Peter Mannino,24,NYI,3,2,1,1,0,10,87,77,0.885,4.52,0,0.3,133,1,0.5,0,,,0,0,0,0,2008
